JR,横浜,湘南新宿ライン,25,湘南新宿ライン：普通、快速、特快
JR,浮間舟渡,埼京線,25,埼京線：各停
東急,青葉台,東急田園都市線,26,田園都市線：各停、準急、急行
JR,神田,山手線,26,
JR,西日暮里,山手線,26,
東急,宮崎台,東急田園都市線,27,田園都市線：各停
東急,大倉山,東急東横線,27,東横線：各停
東急,横浜,東急東横線,27,東横線：各停、急行、特急、通特
メトロ,上野,銀座線,27,
メトロ,住吉,半蔵門線,27,
メトロ,地下鉄成増,副都心線,27,副都心線：普通、通急
JR,秋葉原,山手線,28,
JR,日暮里,山手線,28,
東急,宮前平,東急田園都市線,29,田園都市線：各停
東急,長津田,東急田園都市線,29,田園都市線：各停、準急、急行
メトロ,稲荷町,銀座線,29,
メトロ,錦糸町,半蔵門線,29,
JR,武蔵浦和,埼京線,29,埼京線：各停、快速、通快
メトロ,和光市,副都心線,30,副都心線：普通、急行、通急
JR,浦和,湘南新宿ライン,30,湘南新宿ライン：普通、快速、特快
JR,御徒町,山手線,30,
JR,保土ケ谷,湘南新宿ライン,30,湘南新宿ライン：普通
JR,鶯谷,山手線,30,
東急,妙蓮寺,東急東横線,31,東横線：各停
メトロ,田原町,銀座線,31,
メトロ,押上,半蔵門線,31,
JR,中浦和,埼京線,31,埼京線：各停、快速
JR,戸田,埼京線,31,埼京線：各停
JR,上野,山手線,32,
東急,南町田グランベリーパーク,東急田園都市線,33,田園都市線：各停、準急、急行
東急,白楽,東急東横線,33,東横線：各停
メトロ,浅草,銀座線,33,
JR,南与野,埼京線,33,埼京線：各停、快速
JR,北戸田,埼京線,33,埼京線：各停
東急,東白楽,東急東横線,34,東横線：各停
JR,東戸塚,湘南新宿ライン,34,湘南新宿ライン：普通
JR,戸塚,湘南新宿ライン,35,湘南新宿ライン：普通、快速、特快
JR,与野本町,埼京線,35,埼京線：各停、快速
東急,中央林間,東急田園都市線,36,田園都市線：各停、準急、急行
東急,反町,東急東横線,36,東横線：各停
JR,大宮,埼京線、湘南新宿ライン,36,埼京線：各停、快速、通快　湘南新宿ライン：各停、快速、特快
JR,北与野,埼京線,37,埼京線：各停、快速
東急,江田,東急田園都市線,38,田園都市線：各停
東急,市が尾,東急田園都市線,40,田園都市線：各停
JR,大船,湘南新宿ライン,40,湘南新宿ライン：普通、快速、特快
JR,日進,埼京線,41,埼京線：各停、快速、通快
東急,藤が丘,東急田園都市線,42,田園都市線：各停
JR,西大宮,埼京線,44,埼京線：各停、快速、通快
東急,田奈,東急田園都市線,46,田園都市線：各停
JR,指扇,埼京線,47,埼京線：各停、快速、通快
東急,つくし野,東急田園都市線,50,田園都市線：各停
東急,すずかけ台,東急田園都市線,52,田園都市線：各停
東急,つきみ野,東急田園都市線,55,田園都市線：各停
JR,南古谷,埼京線,56,埼京線：各停、快速、通快
JR,川越,埼京線,61,埼京線：各停、快速、通快
