54,1110216,1110216,余市,11102,1,046-0003,余市郡余市町黒川町５丁目,140.794686,43.186558,,
55,1110217,1110217,蘭島,11102,1,048-2562,小樽市蘭島１丁目,140.854643,43.19651,,
56,1110218,1110218,塩谷,11102,1,048-2672,小樽市塩谷２丁目,140.924546,43.202406,,
57,1110219,1110219,小樽,11102,1,047-0032,小樽市稲穂２丁目,140.993653,43.197172,,
58,1110301,1110219,小樽,11103,1,047-0032,小樽市稲穂２丁目,140.993653,43.197172,,
59,1110302,1110302,南小樽,11103,1,047-0015,小樽市住吉町,141.007883,43.186529,,
60,1110303,1110303,小樽築港,11103,1,047-0008,小樽市築港,141.029051,43.180752,,
61,1110304,1110304,朝里,11103,1,047-0151,小樽市朝里１丁目,141.063923,43.176868,,
62,1110305,1110305,銭函,11103,1,047-0261,小樽市銭函２丁目,141.159868,43.143403,,
63,1110306,1110306,ほしみ,11103,1,006-0859,札幌市手稲区手稲星置１条９丁目,141.191402,43.13373,,
64,1110307,1110307,星置,11103,1,006-0851,札幌市手稲区星置１条３丁目,141.210856,43.132375,,
65,1110308,1110308,稲穂,11103,1,006-0831,札幌市手稲区曙１条３丁目,141.222919,43.128115,,
66,1110309,1110309,手稲,11103,1,006-0021,札幌市手稲区手稲本町１条４丁目,141.243785,43.120238,,
67,1110310,1110310,稲積公園,11103,1,006-0011,札幌市手稲区富丘１条４丁目,141.257113,43.112023,,
68,1110311,1110311,発寒,11103,1,063-0829,札幌市西区発寒９条１３丁目,141.277273,43.099819,,
69,1110312,1110312,発寒中央,11103,1,063-0826,札幌市西区発寒十条３丁目,141.294497,43.089271,,
70,1110313,1110313,琴似,11103,1,063-0812,札幌市西区琴似2条2丁目,141.307418,43.081599,,
71,1110314,1110314,桑園,11103,1,060-0011,札幌市中央区北１１条西１５丁目,141.332036,43.070744,,
72,1110315,1110315,札幌,11103,1,060-0806,札幌市北区北６条西４丁目,141.350768,43.068612,,
73,1110316,1110316,苗穂,11103,1,060-0033,札幌市中央区北３条東１３丁目,141.377522,43.068574,,
74,1110317,1110317,白石,11103,1,003-0029,札幌市白石区平和通3丁目北6,141.413612,43.054715,1903-04-21 00:00:00,
75,1110318,1110318,厚別,11103,1,004-0055,札幌市厚別区厚別中央５条４丁目,141.46369,43.045154,,
76,1110319,1110319,森林公園,11103,1,004-0071,札幌市厚別区厚別北１条４丁目,141.481332,43.056456,,
77,1110320,1110320,大麻,11103,1,069-0854,江別市大麻中町,141.496925,43.072382,,
78,1110321,1110321,野幌,11103,1,069-0813,江別市野幌町,141.52984,43.092559,,
79,1110322,1110322,高砂,11103,1,067-0074,江別市高砂町,141.540752,43.100084,,
80,1110323,1110323,江別,11103,1,067-0071,江別市萩ケ岡,141.55679,43.110189,,
81,1110324,1110324,豊幌,11103,1,067-0021,江別市豊幌,141.62466,43.136446,,
82,1110325,1110325,幌向,11103,1,069-0371,岩見沢市幌向南１条３丁目,141.655839,43.151348,,
83,1110326,1110326,上幌向,11103,1,069-0362,岩見沢市上幌向南１条４丁目,141.715391,43.18183,,
84,1110327,1110327,岩見沢,11103,1,068-0034,岩見沢市有明町南,141.759359,43.204201,,
85,1110328,1110328,峰延,11103,1,072-0000,美唄市峰延,141.814673,43.264694,,
86,1110329,1110329,光珠内,11103,1,072-0000,美唄市光珠内,141.844655,43.292658,,
87,1110330,1110330,美唄,11103,1,072-0012,美唄市東一条南２丁目,141.862157,43.330751,,
88,1110331,1110331,茶志内,11103,1,079-0261,美唄市茶志内町,141.87336,43.369842,,
89,1110332,1110332,奈井江,11103,1,079-0313,空知郡奈井江町本町１区,141.889115,43.423718,,
90,1110333,1110333,豊沼,11103,1,073-0138,砂川市豊沼町,141.901032,43.464224,,
91,1110334,1110334,砂川,11103,1,073-0152,砂川市東２条北２丁目,141.909642,43.493468,,
92,1110335,1110335,滝川,11103,1,073-0031,滝川市栄町４丁目,141.900807,43.555278,,
93,1110336,1110336,江部乙,11103,1,079-0462,滝川市江部乙町西町１２丁目,141.935937,43.627564,,
94,1110337,1110337,妹背牛,11103,1,079-0500,雨竜郡妹背牛町字妹背牛,141.966591,43.690841,,
95,1110338,1110338,深川,11103,1,074-0001,深川市１条,142.041642,43.721021,,
96,1110339,1110339,納内,11103,1,078-0151,深川市納内町字納内,142.130072,43.732509,,
97,1110340,1110340,伊納,11103,1,070-8052,旭川市江丹別町春日,142.27167,43.763305,,
98,1110341,1110341,近文,11103,1,070-0821,旭川市近文町１９丁目,142.325327,43.789193,,
99,1110342,1110342,旭川,11103,1,070-0030,旭川市宮下通８丁目,142.357803,43.763492,,
100,1110401,1110138,長万部,11104,1,049-3521,山越郡長万部町字長万部,140.37507,42.512477,,
101,1110402,1110402,静狩,11104,1,049-5141,山越郡長万部町字静狩,140.460025,42.584065,,
102,1110403,1110403,小幌,11104,1,049-5333,虻田郡豊浦町字礼文華,140.537361,42.589731,,
103,1110404,1110404,礼文,11104,1,049-5333,虻田郡豊浦町字礼文華,140.595013,42.580422,,
104,1110405,1110405,大岸,11104,1,049-5332,虻田郡豊浦町字大岸,140.639036,42.585969,,
105,1110406,1110406,豊浦,11104,1,049-5412,虻田郡豊浦町字旭町,140.71536,42.580323,,
106,1110407,1110407,洞爺,11104,1,049-5611,虻田郡洞爺湖町旭町,140.763959,42.55055,,
107,1110408,1110408,有珠,11104,1,059-0151,伊達市有珠町,140.793969,42.513267,,
108,1110409,1110409,長和,11104,1,052-0035,伊達市長和町,140.833783,42.488262,,
109,1110410,1110410,伊達紋別,11104,1,052-0032,伊達市山下町,140.855802,42.469395,,
110,1110411,1110411,北舟岡,11104,1,052-0014,伊達市舟岡町,140.880259,42.450528,,
111,1110412,1110412,稀府,11104,1,059-0273,伊達市南稀府町,140.898836,42.425567,,
112,1110413,1110413,黄金,11104,1,059-0271,伊達市南黄金町,140.907781,42.386441,,
113,1110414,1110414,崎守,11104,1,050-0055,室蘭市崎守町,140.927141,42.373968,,
114,1110415,1110415,本輪西,11104,1,050-0065,室蘭市本輪西町１丁目,140.977561,42.358734,,
115,1110416,1110416,室蘭,11104,1,051-0023,室蘭市入江町１,140.97571,42.317864,,
116,1110417,1110417,母恋,11104,1,051-0004,室蘭市母恋北町１丁目,140.990018,42.317295,,
117,1110418,1110418,御崎,11104,1,051-0001,室蘭市御崎町２丁目,140.993881,42.329014,,
118,1110419,1110419,輪西,11104,1,050-0087,室蘭市仲町,141.005743,42.333775,,
119,1110420,1110420,東室蘭,11104,1,050-0083,室蘭市東町２丁目,141.026411,42.349374,,
120,1110421,1110421,鷲別,11104,1,059-0034,登別市鷲別町２丁目,141.042759,42.35953,,
121,1110422,1110422,幌別,11104,1,059-0013,登別市幌別町３丁目,141.107293,42.409782,,
122,1110423,1110423,富浦,11104,1,059-0462,登別市富浦町１丁目,141.156878,42.441957,,
123,1110424,1110424,登別,11104,1,059-0466,登別市登別港町１丁目,141.180931,42.45207,,
124,1110425,1110425,虎杖浜,11104,1,059-0641,白老郡白老町字虎杖浜,141.215092,42.464695,,
125,1110426,1110426,竹浦,11104,1,059-0642,白老郡白老町字竹浦,141.260395,42.49284,,
126,1110427,1110427,北吉原,11104,1,059-0923,白老郡白老町字北吉原,141.286199,42.509119,,
127,1110428,1110428,萩野,11104,1,059-0922,白老郡白老町字萩野,141.30603,42.521159,,
128,1110429,1110429,白老,11104,1,059-0904,白老郡白老町東町１丁目,141.360054,42.55474,,
129,1110430,1110430,社台,11104,1,059-0901,白老郡白老町字社台,141.417433,42.578682,,
130,1110431,1110431,錦岡,11104,1,059-1275,苫小牧市字錦岡,141.48722,42.6025,,
131,1110432,1110432,糸井,11104,1,053-0816,苫小牧市日吉町３丁目,141.546187,42.6225,,
132,1110433,1110433,青葉,11104,1,053-0807,苫小牧市青葉町１丁目,141.568278,42.62999,,
133,1110434,1110434,苫小牧,11104,1,053-0022,苫小牧市表町６丁目,141.596837,42.639665,,
134,1110501,1110434,苫小牧,11105,1,053-0022,苫小牧市表町６丁目,141.596837,42.639665,,
135,1110502,1110502,沼ノ端,11105,1,059-1364,苫小牧市字沼ノ端,141.693132,42.672057,,
136,1110503,1110503,遠浅,11105,1,059-1433,勇払郡安平町遠浅,141.769568,42.729533,,
137,1110504,1110504,早来,11105,1,059-1501,勇払郡安平町早来大町,141.814106,42.765237,,
138,1110505,1110505,安平,11105,1,059-1511,勇払郡安平町安平,141.825283,42.814007,,
139,1110506,1110506,追分,11105,1,059-1931,勇払郡安平町追分中央,141.810678,42.873316,,
140,1110507,1110507,三川,11105,1,069-1200,夕張郡由仁町三川,141.800778,42.945029,,
141,1110508,1110508,古山,11105,1,069-1216,夕張郡由仁町字古山,141.793969,42.975256,,
142,1110509,1110509,由仁,11105,1,069-1216,夕張郡由仁町古山,141.785868,43.012206,,
143,1110510,1110510,栗山,11105,1,069-1511,夕張郡栗山町中央３丁目,141.775603,43.058164,,
144,1110511,1110511,栗丘,11105,1,068-0134,岩見沢市栗沢町栗丘,141.744333,43.085444,,
145,1110512,1110512,栗沢,11105,1,068-0127,岩見沢市栗沢町本町,141.739743,43.120367,,
146,1110513,1110513,志文,11105,1,068-0841,岩見沢市志文本町１条４丁目,141.744443,43.158903,,
147,1110514,1110327,岩見沢,11105,1,068-0034,岩見沢市有明町南,141.759359,43.204201,,
148,1110601,1110335,滝川,11106,1,073-0031,滝川市栄町４丁目,141.900807,43.555278,,
149,1110602,1110602,東滝川,11106,1,073-0026,滝川市東滝川,141.98031,43.574037,,
150,1110603,1110603,赤平,11106,1,079-1134,赤平市泉町１丁目,142.048669,43.555144,,
151,1110604,1110604,茂尻,11106,1,079-1100,赤平市字茂尻町南２丁目,142.082156,43.537314,,
152,1110605,1110605,平岸,11106,1,079-1282,北海道赤平市平岸仲町１丁目,142.123872,43.541401,,
