73,11314,2,JR総武本線,ソウブホンセン,JR総武本線,,
74,11315,2,JR青梅線,オウメセン,JR青梅線,,
75,11316,2,JR五日市線,イツカイチセン,JR五日市線,,
76,11317,2,JR八高線(八王子～高麗川),ハチコウセン,JR八高線(八王子～高麗川),,
77,11318,2,JR八高線(高麗川～高崎),ハチコウセン,JR八高線(高麗川～高崎),,
78,11319,2,宇都宮線,ウツノミヤセン,JR東北本線,,
79,11320,2,JR常磐線(上野～取手),ジョウバンセン,JR常磐線(上野～取手),,
80,11321,2,JR埼京線,サイキョウセン,JR埼京線,,
81,11322,2,JR川越線,カワゴエセン,JR川越線,,
82,11323,2,JR高崎線,タカサキセン,JR高崎線,,
83,11324,2,JR外房線,ソトボウセン,JR外房線,,
84,11325,2,JR内房線,ウチボウセン,JR内房線,,
85,11326,2,JR京葉線,ケイヨウセン,JR京葉線,,
86,11327,2,JR成田線,ナリタセン,JR成田線,,
87,11328,2,JR成田エクスプレス,ナリタエクスプレス,JR成田エクスプレス,,
88,11329,2,JR鹿島線,カシマセン,JR鹿島線,,
89,11330,2,JR久留里線,クルリセン,JR久留里線,,
90,11331,2,JR東金線,トウガネセン,JR東金線,,
91,11332,2,JR京浜東北線,ケイヒントウホクセン,JR京浜東北線,,
92,11333,2,JR湘南新宿ライン,ショウナンシンジュクライン,JR湘南新宿ライン,,
93,11343,2,上野東京ライン,ウエノトウキョウライン,上野東京ライン,,
94,11334,2,JR烏山線,カラスヤマセン,JR烏山線,,
95,11335,2,JR吾妻線,アヅマセン,JR吾妻線,,
96,11337,2,JR信越本線,シンエツホンセン,JR信越本線,,
97,11338,2,JR水郡線,スイグンセン,JR水郡線,,
98,11339,2,JR水戸線,ミトセン,JR水戸線,,
99,11340,2,JR日光線,ニッコウセン,JR日光線,,
100,11341,2,JR両毛線,リョウモウセン,JR両毛線,,
101,11342,2,JR上越線,ジョウエツセン,JR上越線,,
102,11401,2,八ヶ岳高原線,ヤツガダケコウゲンセン,JR小海線,,
103,11402,3,JR身延線,ミノブセン,JR身延線,,
104,11403,2,JR信越本線(篠ノ井～長野),シンエツホンセン,JR信越本線(篠ノ井～長野),,
105,11404,2,JR信越本線(直江津～新潟),シンエツホンセン,JR信越本線(直江津～新潟),,
106,11405,4,JR北陸本線(富山～直江津),ホクリクホンセン,JR北陸本線(富山～直江津),,
107,11406,2,JR白新線,ハクシンセン,JR白新線,,
108,11407,2,JR飯山線,イイヤマセン,JR飯山線,,
109,11408,2,JR越後線,エチゴセン,JR越後線,,
110,11409,2,北アルプス線,キタアルプスセン,JR大糸線,,
111,11410,2,JR弥彦線,ヤヒコセン,JR弥彦線,,
112,11411,3,JR中央本線(名古屋～塩尻),チュウオウホンセン,JR中央本線(名古屋～塩尻),,
113,11412,2,JR篠ノ井線,シノノイセン,JR篠ノ井線,,
114,11413,3,JR飯田線(豊橋～天竜峡),イイダセン,JR飯田線(豊橋～天竜峡),,
115,11414,3,JR飯田線(天竜峡～辰野),イイダセン,JR飯田線(天竜峡～辰野),,
116,11415,4,JR北陸本線(米原～金沢),ホクリクホンセン,JR北陸本線(米原～金沢),,
117,11416,3,JR高山本線,タカヤマホンセン,JR高山本線,,
118,11417,4,JR城端線,ジョウハナセン,JR城端線,,
119,11418,4,JR氷見線,ヒミセン,JR氷見線,,
120,11419,4,JR七尾線,ナナオセン,JR七尾線,,
121,11420,4,敦賀港線,ツルガコウセン,JR北陸本線(敦賀～敦賀港),,
122,11421,4,九頭竜線,クズリュウセン,JR越美北線,,
123,11422,4,JR小浜線,オバマセン,JR小浜線,,
124,11501,3,JR東海道本線(熱海～浜松),トウカイドウホンセン,JR東海道本線(熱海～浜松),,
125,11502,3,JR東海道本線(浜松～岐阜),トウカイドウホンセン,JR東海道本線(浜松～岐阜),,
126,11503,3,JR東海道本線(岐阜～美濃赤坂・米原),トウカイドウホンセン,JR東海道本線(岐阜～美濃赤坂・米原),,
127,11504,2,JR伊東線,イトウセン,JR伊東線,,
128,11505,3,JR御殿場線,ゴテンバセン,JR御殿場線,,
129,11506,3,JR武豊線,タケトヨセン,JR武豊線,,
130,11507,3,JR太多線,オオタセン,JR太多線,,
131,11508,3,JR関西本線(名古屋～亀山),カンサイホンセン,JR関西本線(名古屋～亀山),,
132,11509,4,JR関西本線(亀山～加茂),カンサイホンセン,JR関西本線(亀山～加茂),,
